id,nome_prodotto,categoria,prezzo,tacco,taglie,colore,link
idp21551,Sneakers 82066,sneakers,"105,00 €",0,35 36 37 38 39 40,#026f38,https://www.kammi.it/scarpe-donna/sneakers/sneakers-82066-idp21551.html
idp21550,Sneakers 82066,sneakers,"105,00 €",0,36 37 38 39 40,#d6d0da,https://www.kammi.it/scarpe-donna/sneakers/sneakers-82066-idp21550.html
idp21537,Sneaker Marina,sneakers,"109,00 €",0,35 36 37 38 39 41,#eec4ab,https://www.kammi.it/scarpe-donna/sneakers/sneaker-marina-idp21537.html
idp21536,Sneaker Marina,sneakers,"109,00 €",0,35 37 39 40,#CD7F32,https://www.kammi.it/scarpe-donna/sneakers/sneaker-marina-idp21536.html
idp21526,Sneaker Nina,sneakers,"109,00 €",0,35 36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/sneakers/sneaker-nina-idp21526.html
idp21549,Sneakers 8100,sneakers,"95,00 €",0,36 37 38 39 40,#e80980,https://www.kammi.it/scarpe-donna/sneakers/sneakers-8100-idp21549.html
idp21548,Sneakers 8100,sneakers,"95,00 €",0,36 37 38 39 40 41,#1f2839,https://www.kammi.it/scarpe-donna/sneakers/sneakers-8100-idp21548.html
idp21090,Sneakers 2651 cat,sneakers,"109,00 €",0,35 36 37 38 39 40 41,#CD7F32,https://www.kammi.it/scarpe-donna/sneakers/sneakers-2651-cat-idp21090.html
idp21089,Sneakers 2651 cat,sneakers,"109,00 €",0,35 36 38 39 40,#786153,https://www.kammi.it/scarpe-donna/sneakers/sneakers-2651-cat-idp21089.html
idp20903,Sneakers 23039,sneakers,"89,90 €",0,36 37 38 39 40 41,#000000,https://www.kammi.it/scarpe-donna/sneakers/sneakers-23039-idp20903.html
idp20899,Sneakers 23039,sneakers,"89,90 €",0,35 36,#FFFFFF,https://www.kammi.it/scarpe-donna/sneakers/sneakers-23039-idp20899.html
idp20534,Sneakers 2651 cat,sneakers,"109,00 €",0,35 36 37 38 39 40,#e4a677,https://www.kammi.it/scarpe-donna/sneakers/sneakers-2651-cat-idp20534.html
idp20533,Sneakers 2651 cat,sneakers,"109,00 €",0,35 36 37 38 39 40 41,#FFFFFF,https://www.kammi.it/scarpe-donna/sneakers/sneakers-2651-cat-idp20533.html
idp20461,Sneakers 8100,sneakers,"95,00 €",0,35 38 39 40 41,#FFFFFF,https://www.kammi.it/scarpe-donna/sneakers/sneakers-8100-idp20461.html
idp19488,Slip on Catena 2651,sneakers,"99,90 €",0,36,#000000,https://www.kammi.it/scarpe-donna/sneakers/slip-on-catena-2651-idp19488.html
idp21644,Sandalo 7318,sandali-bassi,"75,00 €",4,35 36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/sandali-bassi/sandalo-7318-idp21644.html
idp21637,Ciabatta 221,sandali-bassi,"45,00 €",0,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-221-idp21637.html
idp21635,Sandalo 7285,sandali-bassi,"59,90 €",2,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/sandali-bassi/sandalo-7285-idp21635.html
idp21633,Ciabatta 201,sandali-bassi,"39,90 €",0,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-201-idp21633.html
idp21632,Ciabatta 800,sandali-bassi,"55,00 €",0,36 37 38 39 40 41,#eec4ab,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-800-idp21632.html
idp21631,Ciabatta 800,sandali-bassi,"55,00 €",0,35 36 37 38 39 40,#d6d0da,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-800-idp21631.html
idp21629,Sandalo 194,sandali-bassi,"39,90 €",0,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/sandali-bassi/sandalo-194-idp21629.html
idp21628,Sandalo 720-56,sandali-bassi,"59,90 €",1,38 39 40,#f5d7b3,https://www.kammi.it/scarpe-donna/sandali-bassi/sandalo-720-56-idp21628.html
idp21626,Ciabatta 271,sandali-bassi,"79,90 €",0,35 36 37 38 39 40,#eec4ab,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-271-idp21626.html
idp21625,Ciabatta 271,sandali-bassi,"79,90 €",0,38 39 40 41,#786153,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-271-idp21625.html
idp21624,Ciabatta new D,sandali-bassi,"25,00 €",0,36 37 38 39 40 41,#955ea7,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-new-d-idp21624.html
idp21623,Ciabatta new D,sandali-bassi,"25,00 €",0,36 37 38 39 40 41,#026f38,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-new-d-idp21623.html
idp21621,Ciabatta new D,sandali-bassi,"25,00 €",0,36 37 38 39 40 41,#e80980,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-new-d-idp21621.html
idp21620,Ciabatta new D,sandali-bassi,"25,00 €",0,36 37 38 39 40 41,#1f2839,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-new-d-idp21620.html
idp21610,Ciabatta 407,sandali-bassi,"45,00 €",1,37 38 39 40 41,#026f38,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-407-idp21610.html
idp21644,Sandalo 7318,sandali-bassi,"75,00 €",4,35 36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/sandali-bassi/sandalo-7318-idp21644.html
idp21637,Ciabatta 221,sandali-bassi,"45,00 €",0,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-221-idp21637.html
idp21635,Sandalo 7285,sandali-bassi,"59,90 €",2,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/sandali-bassi/sandalo-7285-idp21635.html
idp21633,Ciabatta 201,sandali-bassi,"39,90 €",0,36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-201-idp21633.html
idp21632,Ciabatta 800,sandali-bassi,"55,00 €",0,36 37 38 39 40 41,#eec4ab,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-800-idp21632.html
idp21631,Ciabatta 800,sandali-bassi,"55,00 €",0,35 36 37 38 39 40,#d6d0da,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-800-idp21631.html
idp21629,Sandalo 194,sandali-bassi,"39,90 €",0,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/sandali-bassi/sandalo-194-idp21629.html
idp21628,Sandalo 720-56,sandali-bassi,"59,90 €",1,38 39 40,#f5d7b3,https://www.kammi.it/scarpe-donna/sandali-bassi/sandalo-720-56-idp21628.html
idp21626,Ciabatta 271,sandali-bassi,"79,90 €",0,35 36 37 38 39 40,#eec4ab,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-271-idp21626.html
idp21625,Ciabatta 271,sandali-bassi,"79,90 €",0,38 39 40 41,#786153,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-271-idp21625.html
idp21624,Ciabatta new D,sandali-bassi,"25,00 €",0,36 37 38 39 40 41,#955ea7,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-new-d-idp21624.html
idp21623,Ciabatta new D,sandali-bassi,"25,00 €",0,36 37 38 39 40 41,#026f38,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-new-d-idp21623.html
idp21621,Ciabatta new D,sandali-bassi,"25,00 €",0,36 37 38 39 40 41,#e80980,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-new-d-idp21621.html
idp21620,Ciabatta new D,sandali-bassi,"25,00 €",0,36 37 38 39 40 41,#1f2839,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-new-d-idp21620.html
idp21610,Ciabatta 407,sandali-bassi,"45,00 €",1,37 38 39 40 41,#026f38,https://www.kammi.it/scarpe-donna/sandali-bassi/ciabatta-407-idp21610.html
idp21357,Tronchetto 6022,stivali-stivaletti,"139,00 €",7,35 37 38 39 40,#f5d7b3,https://www.kammi.it/scarpe-donna/stivali-stivaletti/tronchetto/tronchetto-6022-idp21357.html
idp21356,Tronchetto 6022,stivali-stivaletti,"139,00 €",7,35 37 40,#FFFFFF,https://www.kammi.it/scarpe-donna/stivali-stivaletti/tronchetto/tronchetto-6022-idp21356.html
idp21643,Zeppa 340,zeppe,"69,90 €",5,35 36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/zeppe/zeppa-340-idp21643.html
idp21639,Zeppa 3462,zeppe,"69,90 €",4,36 37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/zeppe/zeppa-3462-idp21639.html
idp21636,Zeppa 9005,zeppe,"89,90 €",5,37 38 39 40 41,-,https://www.kammi.it/scarpe-donna/zeppe/zeppa-9005-idp21636.html
idp21627,Zeppa 3352,zeppe,"99,90 €",7,36 37 38 39 40 41,#e4a677,https://www.kammi.it/scarpe-donna/zeppe/zeppa-3352-idp21627.html
idp21608,Zeppa 902,zeppe,"69,90 €",5,35 36 37 38 39 40,-,https://www.kammi.it/scarpe-donna/zeppe/zeppa-902-idp21608.html
idp21594,Zeppa 3326,zeppe,"95,00 €",4,35 36 37 38 39 40 41,#786153,https://www.kammi.it/scarpe-donna/zeppe/zeppa-3326-idp21594.html
idp21593,Zeppa 3326,zeppe,"95,00 €",4,35 37 38 39 40 41,#e4a677,https://www.kammi.it/scarpe-donna/zeppe/zeppa-3326-idp21593.html
idp20616,Zeppa 102,zeppe,"69,90 €",9,36 39 40,#ac8e83,https://www.kammi.it/scarpe-donna/zeppe/zeppa-102-idp20616.html
idp20615,Zeppa L3402,zeppe,"74,90 €",6,40 41,#CD7F32,https://www.kammi.it/scarpe-donna/zeppe/zeppa-l3402-idp20615.html
idp20610,Zeppa 1610,zeppe,"79,90 €",4,36 37 38 39,#000000,https://www.kammi.it/scarpe-donna/zeppe/zeppa-1610-idp20610.html
