,nome,categoria,prezzo,tacco,taglie,colore,link
0,Mocassino da donna in pelle scamosciata con morsetto colore viola,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41,Viola,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-con-morsetto-colore-viola
0,Mocassino da donna in pelle scamosciata con morsetto colore turchese,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41 42,Turchese,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-con-morsetto-colore-turchese-1
0,Mocassino da donna in pelle scamosciata con morsetto colore fucsia,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41 42,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-con-morsetto-colore-fucsia
0,Mocassino da donna in pelle scamosciata con morsetto colore blu,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-con-morsetto-colore-blu
0,Mocassino da donna in pelle scamosciata con morsetto colore blu,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41 42,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-con-morsetto-colore-bu
0,Mocassino da donna in pelle scamosciata con morsetto colore beige,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-con-morsetto-colore-beige
0,Mocassino da donna in pelle scamosciata con morsetto colore marrone chiaro,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41 42,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-con-morsetto-colore-marrone-chiaro
0,Mocassino da donna classico in pelle scamosciata con nappine colore marrone,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41 42,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-scamosciata-con-nappine-colore-marrone
0,Mocassino da donna classico in pelle scamosciata con nappine colore blu scuro,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41 42,Blu Scuro,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-scamosciata-con-nappine-colore-blu-scuro
0,Mocassino da donna con morsetto e fibbia in pelle colore blu fatto a mano,/collections/donna-calzature-mocassini,"€229,00",1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-morsetto-e-fibbia-in-pelle-colore-blu-fatto-a-mano
0,Mocassino da donna con morsetto e fibbia in pelle colore viola,/collections/donna-calzature-mocassini,"€229,00",1,35 36 37 38 39 40 41,Viola,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-morsetto-e-fibbia-in-pelle-colore-viola
0,Mocassino da donna classico in pelle scamosciata colore rosa,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-scamosciata-colore-rosa-1
0,Mocassino da donna classico in pelle scamosciata colore blu,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-scamosciata-colore-blu
0,Mocassino da donna classico in pelle scamosciata colore verde,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41,Verde,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-scamosciata-colore-verde
0,Mocassino da donna classico in pelle scamosciata colore rosa,/collections/donna-calzature-mocassini,"€169,00",1,36 37 38 39 40 41,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-scamosciata-colore-rosa
0,Mocassino da donna classico in pelle scamosciata colore rosso,/collections/donna-calzature-mocassini,"€169,00",1,36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-scamosciata-colore-rosso
0,Mocassino da donna classico in pelle scamosciata colore marrone chiaro,/collections/donna-calzature-mocassini,"€169,00",1,35 36 37 38 39 40 41,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-scamosciata-colore-marrone-chiaro
0,Mocassino da donna classico in pelle colore nero fatti a mano,/collections/donna-calzature-mocassini,"€229,00",1,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-classico-in-pelle-colore-nero-fatti-a-mano
0,Mocassino classico da donna con morsetto in pelle colore bianco,/collections/donna-calzature-mocassini,"€229,00",1,35 36 37 38 39 40 41 42,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-classico-da-donna-con-morsetto-in-pelle-colore-bianco
0,Mocassino classico da donna con morsetto in pelle colore blu scuro,/collections/donna-calzature-mocassini,"€229,00",1,35 36 37 38 39 40 41 42,Blu Scuro,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-classico-da-donna-con-morsetto-in-pelle-colore-blu
0,Mocassino classico da donna con morsetto in pelle colore marrone,/collections/donna-calzature-mocassini,"€229,00",1,35 36 37 38 39 40 41 42,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-classico-da-donna-con-morsetto-in-pelle-colore-marrone
0,Mocassino classico da donna con morsetto in pelle colore nero,/collections/donna-calzature-mocassini,"€229,00",1,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-classico-da-donna-con-morsetto-in-pelle-colore-nero
0,Mocassino da barca da donna in camoscio colore verde,/collections/donna-calzature-mocassini,"€149,00",Senza tacco,35 36 37 38 39 40 41,Verde,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-barca-da-donna-in-camoscio-colore-verde
0,Mocassino da barca da donna in camoscio colore marrone,/collections/donna-calzature-mocassini,"€149,00",Senza tacco,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-barca-da-donna-in-camoscio-colore-marrone
0,Mocassino da barca da donna in camoscio colore giallo,/collections/donna-calzature-mocassini,"€149,00",Senza tacco,35 36 37 38 39 40 41,Giallo,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-barca-da-donna-in-camoscio-colore-giallo
0,Mocassino da donna con bocca di leone in pelle marrone,/collections/donna-calzature-mocassini,"€229,00",2,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-bocca-di-leone-in-pelle-marrone
0,Mocassino da donna con bocca di leone in pelle nero,/collections/donna-calzature-mocassini,"€229,00",2,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-bocca-di-leone-in-pelle-nero
0,Mocassino da donna in pelle colore rosso con fibbia,/collections/donna-calzature-mocassini,"€229,00",3,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-fibbia-in-pelle-colore-rosso
0,Mocassino da donna in pelle colore marrone con fibbia,/collections/donna-calzature-mocassini,"€229,00",3,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-fibbia-in-pelle-colore-marrone
0,Mocassino da donna in pelle colore nero con fibbia,/collections/donna-calzature-mocassini,"€229,00",3,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-fibbia-in-pelle-colore-nero
0,Mocassino da donna paupa in pelle lavata colore rosso,/collections/donna-calzature-mocassini,"€229,00",3,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-papua-in-pelle-lavata-colore-rosso
0,Mocassino da donna paupa in pelle lavata colore nero,/collections/donna-calzature-mocassini,"€229,00",3,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-papua-in-pelle-lavata-colore-nero
0,Mocassino da donna paupa in pelle lavata colore cuoio scuro,/collections/donna-calzature-mocassini,"€229,00",3,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-papua-in-pelle-lavata-colore-cuoio-scuro
0,Mocassino da donna in pelle scamosciata taupe con fibbia oro,/collections/donna-calzature-mocassini,"€149,00",1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-taupe-con-fibbia-oro
0,Mocassino flessibile da donna in pelle scamosciata taupe e fondo in gomma,/collections/donna-calzature-mocassini,"€129,00",1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-flessibile-da-donna-in-pelle-scamosciata-taupe-e-fondo-in-gomma
0,Mocassino da donna in pelle scamosciata blu con fibbia oro,/collections/donna-calzature-mocassini,"€149,00",1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-blu-con-fibbia-oro
0,Mocassino da donna in pelle scamosciata celeste con fibbia oro,/collections/donna-calzature-mocassini,"€149,00",1,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-celeste-con-fibbia-oro
0,Mocassino da donna in pelle scamosciata marrone con fibbia oro,/collections/donna-calzature-mocassini,"€149,00",1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-scamosciata-marrone-con-fibbia-oro
0,Mocassino flessibile da donna in pelle scamosciata celeste e fondo in gomma,/collections/donna-calzature-mocassini,"€129,00",1,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-flessibile-da-donna-in-pelle-scamosciata-celeste-e-fondo-in-gomma
0,Mocassino flessibile da donna in pelle scamosciata rosa,/collections/donna-calzature-mocassini,"€139,00",Senza tacco,35 36 37 38 39 40 41,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-flessibile-da-donna-in-pelle-scamosciata-rosa
0,Mocassino flessibile da donna in pelle scamosciata celeste,/collections/donna-calzature-mocassini,"€139,00",Senza tacco,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-flessibile-da-donna-in-pelle-scamosciata-celeste
0,Mocassino flessibile da donna in pelle scamosciata verde,/collections/donna-calzature-mocassini,"€139,00",Senza tacco,35 36 37 38 39 40 41,Verde,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-flessibile-da-donna-in-pelle-scamosciata-verde
0,Mocassino flessibile da donna in pelle scamosciata  blu,/collections/donna-calzature-mocassini,"€139,00",Senza tacco,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-flessibile-da-donna-in-pelle-scamosciata-blu
0,Mocassino flessibile da donna in pelle scamosciata marrone,/collections/donna-calzature-mocassini,"€139,00",Senza tacco,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-flessibile-da-donna-in-pelle-scamosciata-marrone
0,Mocassino da donna a sacchetto in camoscio celeste,/collections/donna-calzature-mocassini,"€179,00",1,35 36 37 38 39 40 41,Celeste,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-a-sacchetto-in-camoscio-celeste
0,Mocassino flessibile da donna in pelle scamosciata nude,/collections/donna-calzature-mocassini,"€139,00",Senza tacco,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-flessibile-da-donna-in-pelle-scamosciata-nude
0,Mocassino da donna con lacci in pelle blu,/collections/donna-calzature-mocassini,"€159,00",Senza tacco,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-lacci-in-pelle-blu
0,Mocassino da donna con lacci in pelle nero,/collections/donna-calzature-mocassini,"€159,00",Senza tacco,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-lacci-in-pelle-nero
0,Mocassino da donna con lacci in pelle bianco,/collections/donna-calzature-mocassini,"€159,00",Senza tacco,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-lacci-in-pelle-bianco
0,Mocassino da donna con lacci in pelle rosso,/collections/donna-calzature-mocassini,"€159,00",Senza tacco,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-lacci-in-pelle-rosso
0,Mocassino da donna con lacci in pelle marrone,/collections/donna-calzature-mocassini,"€159,00",Senza tacco,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-lacci-in-pelle-marrone
0,Mocassino da donna con lacci in pelle marrone scuro,/collections/donna-calzature-mocassini,"€159,00",Senza tacco,35 36 37 38 39 40 41,Marrone Scuro,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-con-lacci-in-pelle-marrone-scuro
0,Mocassino da donna tubolare in camoscio rosso,/collections/donna-calzature-mocassini,"€149,00",Senza tacco,35 36 37 38 39 40 41,Rosso,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-tubolare-in-camoscio-rosso
0,Mocassino da donna tubolare in pelle blu,/collections/donna-calzature-mocassini,"€149,00",Senza tacco,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-tubolare-in-pelle-blu
0,Mocassino da donna tubolare in pelle grigio,/collections/donna-calzature-mocassini,"€149,00",Senza tacco,35 36 37 38 39 40 41,Grigio,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-tubolare-in-pelle-grigio
0,Mocassino da donna tubolare in camoscio marrone scuro,/collections/donna-calzature-mocassini,"€149,00",Senza tacco,35 36 37 38 39 40 41,Marrone Scuro,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-tubolare-in-camoscio-marrone-scuro
0,Mocassino da donna a sacchetto in camoscio arancio,/collections/donna-calzature-mocassini,"€179,00",1,35 36 37 38 39 40 41,Arancio,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-a-sacchetto-in-camoscio-arancio
0,Mocassino da donna a sacchetto in camoscio beige,/collections/donna-calzature-mocassini,"€179,00",1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-a-sacchetto-in-camoscio-beige
0,Mocassino da donna a sacchetto in camoscio blu,/collections/donna-calzature-mocassini,"€179,00",1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-a-sacchetto-in-camoscio-blu
0,Mocassino da donna a sacchetto in camoscio lilla,/collections/donna-calzature-mocassini,"€179,00",1,35 36 37 38 39 40 41,Lilla,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-a-sacchetto-in-camoscio-lilla
0,Mocassino da donna in pelle beige con morsetto oro,/collections/donna-calzature-mocassini,"€151,00",1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-colore-marrone-chiaro-con-morsetto-oro
0,Mocassino da donna in pelle colore marrone con morsetto oro,/collections/donna-calzature-mocassini,"€151,00",1,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-colore-marrone-con-morsetto-oro
0,Mocassino artigianale da donna in camoscio color verde fatto a mano.,/collections/donna-calzature-mocassini,"€129,00",1,35 36 37 38 39 40 41,Verde ,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-artigianale-da-donna-in-camoscio-color-verde-fatto-a-mano
0,Mocassino artigianale da donna in camoscio color blu scuro fatto a mano.,/collections/donna-calzature-mocassini,"€129,00",1,35 36 37 38 39 40 41,Blu,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-artigianale-da-donna-in-camoscio-color-blu-scuro-fatto-a-mano
0,Mocassino artigianale da donna in camoscio color cuoio fatto a mano.,/collections/donna-calzature-mocassini,"€129,00",1,34 35 36 37 38 39 40 41 42,Cuoio ,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-artigianale-da-donna-in-camoscio-color-cuoio-fatto-a-mano
0,Mocassino da donna in pelle colore nero con morsetto oro,/collections/donna-calzature-mocassini,"€189,00",1,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-pelle-colore-nero-con-morsetto-oro
0,Mocassino da donna in camoscio color menta.,/collections/donna-calzature-mocassini,"€84,50",1,35 36 37 38 39 40 41,Verde Menta,https://www.leonardoshoes.com/collections/donna-calzature-mocassini/products/mocassino-da-donna-in-camoscio-color-menta
0,Sandalo da donna multifasce classico in pelle verniciata bianca,/collections/donna-calzature-sandali,"€149,00",5,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-classico-in-pelle-verniciata-multifasce
0,Sandalo da donna classico in pelle colore nero con fasce,/collections/donna-calzature-sandali,"€149,00",5,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-classico-in-pelle-colore-nero-con-fasce
0,Sandalo da donna in pelle colore marrone con morsetto fatto a mano,/collections/donna-calzature-sandali,"€159,00",5,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-in-pelle-colore-marrone-con-morsetto-fatto-a-mano
0,Sandalo da donna in pelle colore nero con morsetto fatto a mano,/collections/donna-calzature-sandali,"€159,00",5,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-in-pelle-colore-nero-con-morsetto-fatto-a-mano
0,Sandalo da donna con fasce in pelle laminata multicolore,/collections/donna-calzature-sandali,"€149,00",4,35 36 37 38 39 40 41 42,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/francesina-elegante-da-uomo-in-pelle-scamosciata-colore-blu
0,Sandalo da donna classico in pelle colore marrone chiaro con fasce multicolore,/collections/donna-calzature-sandali,"€149,00",5,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-classico-in-pelle-colore-marrone-chiaro-con-fasce-multicolore
0,Sandalo da donna classico in pelle colore bianco con fasce multicolore,/collections/donna-calzature-sandali,"€149,00",5,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-classico-in-pelle-colore-bianco-con-fasce-multicolore
0,Sandalo da donna classico in pelle nero con fasce multicolore,/collections/donna-calzature-sandali,"€149,00",5,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-classico-in-pelle-multicolore-con-fasce
0,Sandalo bianco da donna con fasce in pelle laminata rame e argento,/collections/donna-calzature-sandali,"€149,00",3,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-con-fasce-in-pelle-laminata-colore-rame-e-argento
0,Sandalo da donna con fasce in pelle colore nero e oro,/collections/donna-calzature-sandali,"€149,00",3,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-con-fasce-in-pelle-colore-nero-e-oro
0,Sandalo da donna con fasce in pelle verniciata colore bianco e argento,/collections/donna-calzature-sandali,"€149,00",3,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-con-fasce-in-pelle-verniciata-colore-bianco-e-argento
0,Sandalo da donna colore nero a forma di gabbia,/collections/donna-calzature-sandali,"€169,00",4,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-colore-nero-a-forma-di-gabbia
0,Sandalo a gabbia da donna in pelle colore nero,/collections/donna-calzature-sandali,"€189,00",8,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-a-gabbia-da-donna-in-pelle-colore-nero
0,Sandalo da donna colore cipria a forma di gabbia,/collections/donna-calzature-sandali,"€169,00",4,35 36 37 38 39 40 41,Cipria,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-colore-cipria-a-forma-di-gabbia
0,Sandalo a gabbia da donna in pelle colore cipria,/collections/donna-calzature-sandali,"€189,00",8,35 36 37 38 39 40 41,Cipria,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-a-gabbia-da-donna-in-pelle-colore-cipria
0,Sandalo da donna colore platino laminato a forma di gabbia,/collections/donna-calzature-sandali,"€169,00",4,35 36 37 38 39 40 41,Platino,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-colore-platino-laminato-a-forma-di-gabbia
0,Sandalo a gabbia da donna in pelle colore platino,/collections/donna-calzature-sandali,"€189,00",8,35 36 37 38 39 40 41,Platino,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-a-gabbia-da-donna-in-pelle-colore-platino
0,Sandalo slider da donna in pelle colore nero con morsetto,/collections/donna-calzature-sandali,"€159,00",5,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-slider-da-donna-in-pelle-colore-nero-con-morsetto
0,Sandalo slider da donna in pelle colore marrone con morsetto,/collections/donna-calzature-sandali,"€159,00",5,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-slider-da-donna-in-pelle-colore-bianco-con-morsetto
0,Sandalo slingback da donna in pelle colore nero con punta quadrata,/collections/donna-calzature-sandali,"€149,00",5,35 36 37 38 39 40 41,Nero,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-slingback-da-donna-in-pelle-nera-con-punta-squadrata
0,Sandalo slingback da donna in pelle colore bianco con punta quadrata,/collections/donna-calzature-sandali,"€149,00",5,35 36 37 38 39 40 41,Bianco,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-slingback-da-donna-in-pelle-bianca-con-punta-squadrata
0,Sandalo slingback da donna in pelle marrone con punta squadrata,/collections/donna-calzature-sandali,"€149,00",5,35 36 37 38 39 40 41,Marrone ,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-slingback-da-donna-in-pelle-marrone-con-punta-squadrat
0,Sandalo da donna in pelle scamosciata beige con glitter applicati,/collections/donna-calzature-sandali,"€135,00",8,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-in-pelle-scamosciata-beige-con-glitter-applicati
0,Sandalo da donna in pelle scamosciata marrone con glitter applicati,/collections/donna-calzature-sandali,"€151,00",8,35 36 37 38 39 40 41,Marrone,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/sandalo-da-donna-in-pelle-scamosciata-marrone-con-glitter-applicati
0,Ciabattine da donna in pelle scamosciata colore turchese,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41,Turchese,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/mocassino-da-donna-con-morsetto-e-fibbia-in-pelle-colore-blu
0,Ciabattine da donna in pelle scamosciata colore beige,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41 42,Beige,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/mocassino-da-uomo-in-camoscio-colore-grigio-fatto-a-mano
0,Ciabattine da donna in pelle scamosciata colore giallo,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41 42 43 44,Giallo,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/mocassino-classico-da-uomo-in-pelle-intrecciata-colore-marrone-chiaro
0,Ciabattine da donna in pelle scamosciata colore arancio,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41 42 43 44,Arancio,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/ciabattine-da-donna-in-pelle-scamosciata-colore-arancio
0,Ciabattine da donna in pelle scamosciata colore marrone chiaro,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41 42,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/francesina-elegante-da-uomo-in-pelle-scamosciata-colore-marrone
0,Ciabattine da donna in pelle scamosciata colore marrone scuro,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41 42 43,Marrone Scuro,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/mocassino-casual-da-uomo-in-pelle-colore-marrone-scuro-con-suola-con-gommini
0,Ciabattine da donna in pelle scamosciata colore rosa,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41,Rosa,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/ciabattine-da-donna-in-pelle-scamosciata-colore-rosa
0,Ciabattine da donna in pelle scamosciata colore viola,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41,Viola,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/ciabattine-da-donna-in-pelle-scamosciata-colore-viola
0,Ciabattine da donna scamosciate con fascia colore turchese,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41,Turchese,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/copia-del-ciabattine-da-donna-in-pelle-scamosciata-colore-viola
0,Ciabattine da donna scamosciate con fascia colore beige,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41,Beige,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/ciabattine-da-donna-scamosciate-con-fascia-colore-beige
0,Ciabattine da donna scamosciate con fascia colore giallo,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41,Giallo,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/ciabattine-da-donna-scamosciate-con-fascia-colore-giallo
0,Ciabattine da donna scamosciate con fascia colore marrone chiaro,/collections/donna-calzature-sandali,"€79,00",1,35 36 37 38 39 40 41,Marrone Chiaro,https://www.leonardoshoes.com/collections/donna-calzature-sandali/products/ciabattine-da-donna-scamosciate-con-fascia-colore-marrone-chiaro
